"Statistics name :","2023 Housing and Land Survey Basic Tabulation on Dwellings and Households Japan, Prefecture, Shi, Ku, Machi and Mura"
"Table Number :","1-1-1"
"Title :","[Dwellings and Households] Dwellings by Occupancy Status (9 Groups) - Japan, Prefecture and 21 Major Cities"
"Implementation date :","2023","Oct."
"Cities, Towns and Villages :","-"

"***","The one that figure is not obtained"
"-","   "
"...","   "
"X"," "

"","","","","","","","","","/Occupancy status Code","0","1","11","12","2","21","22","221","222","223","224","2241","2242","23"
"","","","","","","","","","/Occupancy status Auxiliary Code","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tabulated variable Code","Tabulated variable Auxiliary Code","Tabulated variable","Time Code","Time Auxiliary Code","Time","Japan, Prefectures, 21 Major Cities Code","Japan, Prefectures, 21 Major Cities Auxiliary Code","Japan, Prefectures, 21 Major Cities","/Occupancy status","Total","Occupied","Without shared households","With shared households","Unoccupied","Temporary occupants only","Vacant","Vacant,excluding for rent, for sale and as second dwellings","For rent","For sale","As second dwellings","Villas","Others (as second dwellings)","Under construction"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","27140","","Sakai-shi","","427,800","370,600","368,500","2,100","57,200","1,600","55,200","22,200","30,500","2,100","400","0","400","400"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","28000","","Hyogo-ken","","2,798,000","2,397,400","2,384,800","12,600","400,600","11,200","386,900","172,700","180,400","17,400","16,500","7,600","8,900","2,400"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","28100","","Kobe-shi","","852,400","730,600","727,600","3,000","121,800","2,800","118,400","39,500","70,000","6,800","2,200","400","1,800","600"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","29000","","Nara-ken","","639,500","542,900","539,300","3,700","96,600","2,100","93,600","49,500","39,000","3,100","2,000","700","1,300","800"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","30000","","Wakayama-ken","","495,600","386,600","384,500","2,000","109,000","2,800","105,300","59,800","35,100","2,400","8,000","6,200","1,800","800"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","31000","","Tottori-ken","","262,300","219,500","218,500","1,000","42,800","1,200","41,300","25,400","13,800","1,100","900","300","500","300"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","32000","","Shimane-ken","","320,300","263,800","261,800","2,000","56,500","1,500","54,600","36,300","15,700","1,100","1,500","400","1,100","400"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","33000","","Okayama-ken","","955,400","793,900","788,400","5,500","161,500","3,100","157,200","82,600","65,000","3,800","5,800","3,100","2,700","1,200"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","33100","","Okayama-shi","","387,900","329,900","328,300","1,600","58,000","1,400","56,100","22,900","30,800","1,200","1,100","200","900","500"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","34000","","Hiroshima-ken","","1,465,500","1,228,400","1,220,700","7,700","237,100","4,200","231,400","114,700","102,600","6,200","7,800","2,800","5,000","1,500"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","34100","","Hiroshima-shi","","628,800","553,000","550,200","2,700","75,900","1,700","73,700","22,300","47,900","2,500","1,100","300","700","500"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","35000","","Yamaguchi-ken","","726,400","583,000","579,600","3,300","143,400","2,100","140,700","80,500","53,600","3,700","2,900","1,300","1,600","600"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","36000","","Tokushima-ken","","389,200","303,100","300,800","2,300","86,100","2,700","83,000","47,600","31,300","2,100","2,000","800","1,200","400"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","37000","","Kagawa-ken","","492,800","398,800","395,900","3,000","93,900","1,700","91,500","47,900","38,200","2,200","3,200","900","2,300","700"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","38000","","Ehime-ken","","736,800","586,300","581,600","4,700","150,500","4,000","145,600","90,100","48,400","3,300","3,800","1,400","2,400","900"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","39000","","Kochi-ken","","388,100","307,400","305,500","1,900","80,800","1,600","78,700","50,100","24,300","1,700","2,500","1,100","1,400","500"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","40000","","Fukuoka-ken","","2,703,300","2,351,800","2,338,900","12,900","351,500","13,300","335,300","125,500","189,100","16,500","4,300","2,000","2,300","2,900"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","40100","","Kitakyushu-shi","","517,800","433,000","430,600","2,400","84,800","1,600","82,700","27,600","51,500","3,000","500","100","500","500"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","40130","","Fukuoka-shi","","944,000","856,400","852,500","3,900","87,600","7,000","79,700","13,300","59,300","6,600","500","300","200","900"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","41000","","Saga-ken","","367,900","311,900","310,100","1,800","56,000","1,900","53,300","28,300","22,600","1,400","1,000","400","700","800"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","42000","","Nagasaki-ken","","655,000","537,800","533,800","4,000","117,200","3,200","113,000","64,900","41,700","3,300","3,100","1,200","1,900","1,000"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","43000","","Kumamoto-ken","","851,100","717,700","711,800","5,900","133,500","4,000","127,100","65,000","54,300","3,000","4,800","2,200","2,600","2,300"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","43100","","Kumamoto-shi","","385,100","331,100","328,300","2,800","54,000","1,800","51,000","15,900","32,800","1,200","1,100","200","1,000","1,100"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","44000","","Oita-ken","","603,300","485,800","482,900","2,900","117,500","1,600","115,500","58,000","48,800","2,200","6,500","5,000","1,500","500"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","45000","","Miyazaki-ken","","556,800","463,300","460,300","3,000","93,500","2,100","90,700","55,000","31,900","2,200","1,500","500","1,000","700"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","46000","","Kagoshima-ken","","899,600","710,900","705,700","5,200","188,700","3,700","184,200","122,200","53,800","3,700","4,500","2,300","2,200","800"
"01-2023","","Dwellings[dwellings]","2023000000","","2023","47000","","Okinawa-ken","","699,400","627,400","622,400","4,900","72,000","5,200","65,400","28,100","31,900","1,700","3,700","2,400","1,300","1,400"
